Dataset,Model,Seed,Epochs,Learning Rate,Batch Size,Loss
MNIST,SMLLAE,4,3,0.01,64,0.013366346217707785
MNIST,SMLLAE,4,4,0.01,64,0.013361999714401548
MNIST,SMLLAE,4,5,0.01,64,0.013359892700336128
MNIST,SMLLAE,4,6,0.01,64,0.013357244081485437
MNIST,SMLLAE,4,7,0.01,64,0.013357081209251812
MNIST,SMLLAE,4,8,0.01,64,0.013356173400090002
MNIST,SMLLAE,4,9,0.01,64,0.013355251994412908
MNIST,SMLLAE,4,Test,0.01,64,0.013271922779500863
MNIST,SMLLAE,4,0,0.001,64,0.014377051853199504
MNIST,SMLLAE,4,1,0.001,64,0.013512781122202938
MNIST,SMLLAE,4,2,0.001,64,0.013400144494776087
MNIST,SMLLAE,4,3,0.001,64,0.013349439117755654
MNIST,SMLLAE,4,4,0.001,64,0.013319728205969402
MNIST,SMLLAE,4,5,0.001,64,0.013296603543886435
MNIST,SMLLAE,4,6,0.001,64,0.01327786815644645
MNIST,SMLLAE,4,7,0.001,64,0.013271228816392007
MNIST,SMLLAE,4,8,0.001,64,0.013267569254829623
MNIST,SMLLAE,4,9,0.001,64,0.013264783328450692
MNIST,SMLLAE,4,Test,0.001,64,0.013181038016963537
MNIST,SMLLAE,4,0,0.0001,64,0.01683956883482333
MNIST,SMLLAE,4,1,0.0001,64,0.014429507977656846
MNIST,SMLLAE,4,2,0.0001,64,0.01421829554707066
MNIST,SMLLAE,4,3,0.0001,64,0.013919128451559907
MNIST,SMLLAE,4,4,0.0001,64,0.013722611110665396
MNIST,SMLLAE,4,5,0.0001,64,0.013619092191809784
MNIST,SMLLAE,4,6,0.0001,64,0.013552690168092055
MNIST,SMLLAE,4,7,0.0001,64,0.013505488462341049
MNIST,SMLLAE,4,8,0.0001,64,0.013471202542588337
MNIST,SMLLAE,4,9,0.0001,64,0.013444786058313875
MNIST,SMLLAE,4,Test,0.0001,64,0.013326399763868114
MNIST,SMLLAE,4,0,0.01,128,0.007190725767115222
MNIST,SMLLAE,4,1,0.01,128,0.00675023056125876
MNIST,SMLLAE,4,2,0.01,128,0.0066801606357764845
MNIST,SMLLAE,4,3,0.01,128,0.00666625525500538
MNIST,SMLLAE,4,4,0.01,128,0.006662661204738086
MNIST,SMLLAE,4,5,0.01,128,0.006661542431155501
MNIST,SMLLAE,4,6,0.01,128,0.006660503873438723
MNIST,SMLLAE,4,7,0.01,128,0.006660562769166315
MNIST,SMLLAE,4,8,0.01,128,0.006659372222186851
MNIST,SMLLAE,4,9,0.01,128,0.006659471866752166
MNIST,SMLLAE,4,Test,0.01,128,0.0066152433452161055
MNIST,SMLLAE,4,0,0.001,128,0.00748489843979319
MNIST,SMLLAE,4,1,0.001,128,0.006885871741928653
MNIST,SMLLAE,4,2,0.001,128,0.0067617408891540096
MNIST,SMLLAE,4,3,0.001,128,0.006719181147306713
MNIST,SMLLAE,4,4,0.001,128,0.006695649964905687
MNIST,SMLLAE,4,5,0.001,128,0.006681848885312772
MNIST,SMLLAE,4,6,0.001,128,0.006672086936832745
MNIST,SMLLAE,4,7,0.001,128,0.006663112913065755
MNIST,SMLLAE,4,8,0.001,128,0.006654698399703767
MNIST,SMLLAE,4,9,0.001,128,0.006649073192488347
MNIST,SMLLAE,4,Test,0.001,128,0.006602375650236123
MNIST,SMLLAE,4,0,0.0001,128,0.009374442009894705
MNIST,SMLLAE,4,1,0.0001,128,0.007340980528879649
MNIST,SMLLAE,4,2,0.0001,128,0.0072259333586371915
MNIST,SMLLAE,4,3,0.0001,128,0.007187414782316382
MNIST,SMLLAE,4,4,0.0001,128,0.007134252504856665
MNIST,SMLLAE,4,5,0.0001,128,0.0070492568751499216
MNIST,SMLLAE,4,6,0.0001,128,0.006963831557234975
MNIST,SMLLAE,4,7,0.0001,128,0.00689666945117909
MNIST,SMLLAE,4,8,0.0001,128,0.006850970373836471
MNIST,SMLLAE,4,9,0.0001,128,0.006820131329569354
MNIST,SMLLAE,4,Test,0.0001,128,0.006753266028635487
