Model,Class,Loss
MNIST_SMLLAE_0.001_32_1_4.pth,9,0.8758355012852089
MNIST_SMLLAE_0.01_64_5_4.pth,0,0.8237439796024439
MNIST_SMLLAE_0.01_64_5_4.pth,1,0.935848593186702
MNIST_SMLLAE_0.01_64_5_4.pth,2,0.8478530211619628
MNIST_SMLLAE_0.01_64_5_4.pth,3,0.8500265598297119
MNIST_SMLLAE_0.01_64_5_4.pth,4,0.8698448146069365
MNIST_SMLLAE_0.01_64_5_4.pth,5,0.8614576572527265
MNIST_SMLLAE_0.01_64_5_4.pth,6,0.852631180109709
MNIST_SMLLAE_0.01_64_5_4.pth,7,0.8769249200009186
MNIST_SMLLAE_0.01_64_5_4.pth,8,0.8423674101090284
MNIST_SMLLAE_0.01_64_5_4.pth,9,0.8646508539750862
MNIST_SMLLAE_0.01_64_10_3.pth,0,0.8277854703518809
MNIST_SMLLAE_0.01_64_10_3.pth,1,0.9460904239557913
MNIST_SMLLAE_0.01_64_10_3.pth,2,0.8479602995306946
MNIST_SMLLAE_0.01_64_10_3.pth,3,0.851541541354491
MNIST_SMLLAE_0.01_64_10_3.pth,4,0.8722115429744215
MNIST_SMLLAE_0.01_64_10_3.pth,5,0.8632643045064046
MNIST_SMLLAE_0.01_64_10_3.pth,6,0.8523138658861029
MNIST_SMLLAE_0.01_64_10_3.pth,7,0.881675050996157
MNIST_SMLLAE_0.01_64_10_3.pth,8,0.8455162902632288
MNIST_SMLLAE_0.01_64_10_3.pth,9,0.8668845157675276
MNIST_SMLLAE_0.01_128_5_2.pth,0,0.8189274252677451
MNIST_SMLLAE_0.01_128_5_2.pth,1,0.9419888868731024
MNIST_SMLLAE_0.01_128_5_2.pth,2,0.8444237527112628
MNIST_SMLLAE_0.01_128_5_2.pth,3,0.848317929600725
MNIST_SMLLAE_0.01_128_5_2.pth,4,0.8717695104371749
MNIST_SMLLAE_0.01_128_5_2.pth,5,0.8632716892011497
MNIST_SMLLAE_0.01_128_5_2.pth,6,0.8511831036191395
MNIST_SMLLAE_0.01_128_5_2.pth,7,0.8796517185084087
MNIST_SMLLAE_0.01_128_5_2.pth,8,0.840488809702088
MNIST_SMLLAE_0.01_128_5_2.pth,9,0.8654542571253063
MNIST_SMLLAE_0.01_128_5_3.pth,0,0.8220450714534643
MNIST_SMLLAE_0.01_128_5_3.pth,1,0.9318682346049909
MNIST_SMLLAE_0.01_128_5_3.pth,2,0.8449359867692918
MNIST_SMLLAE_0.01_128_5_3.pth,3,0.847080139830561
MNIST_SMLLAE_0.01_128_5_3.pth,4,0.8694185976948127
MNIST_SMLLAE_0.01_128_5_3.pth,5,0.8596888731146073
MNIST_SMLLAE_0.01_128_5_3.pth,6,0.8495737958178391
MNIST_SMLLAE_0.01_128_5_3.pth,7,0.878596988285562
MNIST_SMLLAE_0.01_128_5_3.pth,8,0.8401007826690556
MNIST_SMLLAE_0.01_128_5_3.pth,9,0.8637811005174582
MNIST_SMLLAE_0.0001_64_1_3.pth,0,1.2529793641396931
MNIST_SMLLAE_0.0001_64_1_3.pth,1,1.6960644205236224
MNIST_SMLLAE_0.0001_64_1_3.pth,2,1.5049588062851005
MNIST_SMLLAE_0.0001_64_1_3.pth,3,1.4975647854923022
MNIST_SMLLAE_0.0001_64_1_3.pth,4,1.5769708798762008
MNIST_SMLLAE_0.0001_64_1_3.pth,5,1.5236376902848616
MNIST_SMLLAE_0.0001_64_1_3.pth,6,1.5522040158572425
MNIST_SMLLAE_0.0001_64_1_3.pth,7,1.5960418660237168
MNIST_SMLLAE_0.0001_64_1_3.pth,8,1.510623293246087
MNIST_SMLLAE_0.0001_64_1_3.pth,9,1.5667123558263714
MNIST_SMLLAE_0.01_128_5_1.pth,0,0.8196034713667266
MNIST_SMLLAE_0.01_128_5_1.pth,1,0.939656558435919
MNIST_SMLLAE_0.01_128_5_1.pth,2,0.8454341448323671
MNIST_SMLLAE_0.01_128_5_1.pth,3,0.8477658246413315
MNIST_SMLLAE_0.01_128_5_1.pth,4,0.8729296863200465
MNIST_SMLLAE_0.01_128_5_1.pth,5,0.8627241423579075
MNIST_SMLLAE_0.01_128_5_1.pth,6,0.8499473989756471
MNIST_SMLLAE_0.01_128_5_1.pth,7,0.8808527311114486
MNIST_SMLLAE_0.01_128_5_1.pth,8,0.8393165981989866
MNIST_SMLLAE_0.01_128_5_1.pth,9,0.8653145125292692
MNIST_SMLLAE_0.01_128_1_4.pth,0,0.8513569365958779
MNIST_SMLLAE_0.01_128_1_4.pth,1,0.9509892730985969
MNIST_SMLLAE_0.01_128_1_4.pth,2,0.8740645376171252
MNIST_SMLLAE_0.01_128_1_4.pth,3,0.8722448683021092
MNIST_SMLLAE_0.01_128_1_4.pth,4,0.8950337464115041
MNIST_SMLLAE_0.01_128_1_4.pth,5,0.8891581409848859
MNIST_SMLLAE_0.01_128_1_4.pth,6,0.8789050878960802
