Model,Class,MSE,SSIM,PSNR
MNIST_SMLLAE_0.001_128_1_3.pth,7,1.3603740335090615,-0.05930480509395271,-1.330347150803892
MNIST_SMLLAE_0.001_128_1_3.pth,8,1.3119130413635065,-0.05089818564208453,-1.1718818817614098
MNIST_SMLLAE_0.001_128_1_3.pth,9,1.3253223721170566,-0.05834058126902319,-1.2178477238940657
MNIST_SMLLAE_0.001_64_5_3.pth,0,0.8211113378101466,-0.1779213066484536,0.8589478553672731
MNIST_SMLLAE_0.001_64_5_3.pth,1,0.9248236585293572,-0.15593792778164067,0.3417469753279013
MNIST_SMLLAE_0.001_64_5_3.pth,2,0.8456037006405897,-0.12178786126570525,0.7315097787052453
MNIST_SMLLAE_0.001_64_5_3.pth,3,0.8483016044786661,-0.1525359684875784,0.7184090013939415
MNIST_SMLLAE_0.001_64_5_3.pth,4,0.8687096593214878,-0.13927657852221453,0.6142135503638325
MNIST_SMLLAE_0.001_64_5_3.pth,5,0.8599815984076983,-0.18085657686547452,0.6592599701378702
MNIST_SMLLAE_0.001_64_5_3.pth,6,0.8495346012842182,-0.1333241346390558,0.7117001924130242
MNIST_SMLLAE_0.001_64_5_3.pth,7,0.8778578015153046,-0.16033789138556334,0.5686867221799828
MNIST_SMLLAE_0.001_64_5_3.pth,8,0.8418370378213252,-0.11110320451473517,0.7509599238467474
MNIST_SMLLAE_0.001_64_5_3.pth,9,0.8644640623518922,-0.14413310668020915,0.63511939220404
MNIST_SMLLAE_0.01_32_1_3.pth,0,0.8232125940979743,-0.18069013365220832,0.8482761380340761
MNIST_SMLLAE_0.01_32_1_3.pth,1,0.9256374420048382,-0.18799661099930515,0.3383760474967099
MNIST_SMLLAE_0.01_32_1_3.pth,2,0.8484804911553397,-0.13437624288338643,0.7173367850753987
