Dataset,Model,Latent Size,Seed,Loss
CIFAR100,PCKTAE,100,2,0.0015313730216668466
CIFAR100,PCKTAE,100,2,0.0015290238560460832
CIFAR100,PCKTAE,100,2,0.0015276404871198033
CIFAR100,PCKTAE,100,2,0.0015274862106174918
CIFAR100,PCKTAE,100,2,0.0015278232556022227
CIFAR100,PCKTAE,100,2,0.0015278770031569445
CIFAR100,PCKTAE,100,2,0.00152847850445153
CIFAR100,PCKTAE,100,2,0.0015278401679795265
CIFAR100,PCKTAE,100,2,0.001528648578900072
CIFAR100,PCKTAE,100,2,0.0015282279304455004
CIFAR100,PCKTAE,100,2,0.0015276220506247695
CIFAR100,PCKTAE,100,2,0.0015284242364518401
CIFAR100,PCKTAE,100,2,0.0015274123913939575
CIFAR100,PCKTAE,100,2,0.0015279332862433302
CIFAR100,PCKTAE,100,2,0.0015273921223252515
CIFAR100,PCKTAE,100,2,0.001346427898653606
CIFAR100,PCKTAE,500,2,0.001809170552710419
CIFAR100,PCKTAE,500,2,0.0015883826656038385
CIFAR100,PCKTAE,500,2,0.0015600987390288726
CIFAR100,PCKTAE,500,2,0.0015412726144180121
CIFAR100,PCKTAE,500,2,0.0015356643304057286
CIFAR100,PCKTAE,500,2,0.0015339310852039005
CIFAR100,PCKTAE,500,2,0.0015333590652707898
CIFAR100,PCKTAE,500,2,0.0015319249776723173
CIFAR100,PCKTAE,500,2,0.0015807916172672911
CIFAR100,PCKTAE,500,2,0.001536424492683519
CIFAR100,PCKTAE,500,2,0.0015336318034440508
CIFAR100,PCKTAE,500,2,0.0015326048759029003
CIFAR100,PCKTAE,500,2,0.001531851028933016
CIFAR100,PCKTAE,500,2,0.0015325101706987756
CIFAR100,PCKTAE,500,2,0.0015316220772121569
CIFAR100,PCKTAE,500,2,0.0015326080709228964
CIFAR100,PCKTAE,500,2,0.00153277444866393
CIFAR100,PCKTAE,500,2,0.0015304023024799954
CIFAR100,PCKTAE,500,2,0.001641266648490887
CIFAR100,PCKTAE,500,2,0.0015490397824631894
CIFAR100,PCKTAE,500,2,0.0013854447649084504
CIFAR100,PCKTAE,1000,2,0.0018331295842795496
CIFAR100,PCKTAE,1000,2,0.0015832823269483645
CIFAR100,PCKTAE,1000,2,0.001554556309169306
CIFAR100,PCKTAE,1000,2,0.0015474423954306203
CIFAR100,PCKTAE,1000,2,0.001542598955021204
CIFAR100,PCKTAE,1000,2,0.0015385052167793825
CIFAR100,PCKTAE,1000,2,0.001536573456657474
CIFAR100,PCKTAE,1000,2,0.00163345362650483
CIFAR100,PCKTAE,1000,2,0.0015791223882852346
CIFAR100,PCKTAE,1000,2,0.0015844130942769482
CIFAR100,PCKTAE,1000,2,0.0015419864481615135
CIFAR100,PCKTAE,1000,2,0.0015387869787776409
CIFAR100,PCKTAE,1000,2,0.0015374677689850827
CIFAR100,PCKTAE,1000,2,0.0016069979945202465
CIFAR100,PCKTAE,1000,2,0.0015541809340676917
CIFAR100,PCKTAE,1000,2,0.0015397619526318807
CIFAR100,PCKTAE,1000,2,0.00153935332204956
CIFAR100,PCKTAE,1000,2,0.0015374641598123685
CIFAR100,PCKTAE,1000,2,0.0015380655214681154
CIFAR100,PCKTAE,1000,2,0.0015367110476583775
CIFAR100,PCKTAE,1000,2,0.0013648683096199662
CIFAR100,PCKTAE,100,3,0.001820828637008167
CIFAR100,PCKTAE,100,3,0.0015786659553685151
CIFAR100,PCKTAE,100,3,0.001546056540397084
CIFAR100,PCKTAE,100,3,0.001536782627896694
CIFAR100,PCKTAE,100,3,0.0015338493652208268
CIFAR100,PCKTAE,100,3,0.0015314809050258544
CIFAR100,PCKTAE,100,3,0.0015283799036513166
CIFAR100,PCKTAE,100,3,0.0015279023959884977
CIFAR100,PCKTAE,100,3,0.0015264631679538837
CIFAR100,PCKTAE,100,3,0.0015269875621108714
CIFAR100,PCKTAE,100,3,0.0015280031294816786
CIFAR100,PCKTAE,100,3,0.0015277614372799083
CIFAR100,PCKTAE,100,3,0.0015273101555178766
CIFAR100,PCKTAE,100,3,0.0015275854268409026
CIFAR100,PCKTAE,100,3,0.0015271684956377196
CIFAR100,PCKTAE,100,3,0.0015268652637958375
CIFAR100,PCKTAE,100,3,0.0015278485358890402
CIFAR100,PCKTAE,100,3,0.001527543072207638
CIFAR100,PCKTAE,100,3,0.0015278772082980103
CIFAR100,PCKTAE,100,3,0.0015274985184859666
CIFAR100,PCKTAE,100,3,0.0013702160006837
CIFAR100,PCKTAE,500,3,0.0018471466806714834
CIFAR100,PCKTAE,500,3,0.0015905547667952144
CIFAR100,PCKTAE,500,3,0.001555386573716979
CIFAR100,PCKTAE,500,3,0.0015446875367046851
CIFAR100,PCKTAE,500,3,0.0015389623854052076
CIFAR100,PCKTAE,500,3,0.0015342015721847106
CIFAR100,PCKTAE,500,3,0.0015331159394634578
CIFAR100,PCKTAE,500,3,0.0015312666055577262
CIFAR100,PCKTAE,500,3,0.001531897035910917
CIFAR100,PCKTAE,500,3,0.0015322080916960908
CIFAR100,PCKTAE,500,3,0.0015308953868701596
CIFAR100,PCKTAE,500,3,0.001530747078216213
CIFAR100,PCKTAE,500,3,0.001530547019229997
CIFAR100,PCKTAE,500,3,0.0015312842899680977
CIFAR100,PCKTAE,500,3,0.0015910621032790492
CIFAR100,PCKTAE,500,3,0.0020654270972680217
CIFAR100,PCKTAE,500,3,0.0019860919296998732
CIFAR100,PCKTAE,500,3,0.0019701430160204507
CIFAR100,PCKTAE,500,3,0.0019675040747994164
CIFAR100,PCKTAE,500,3,0.0017336081618757543
CIFAR100,PCKTAE,500,3,0.00147286900820187
CIFAR100,PCKTAE,1000,3,0.001835149344261688
CIFAR100,PCKTAE,1000,3,0.0015980990894157868
CIFAR100,PCKTAE,1000,3,0.0015619433901208402
CIFAR100,PCKTAE,1000,3,0.0015467978422017887
CIFAR100,PCKTAE,1000,3,0.0015404956966705258
CIFAR100,PCKTAE,1000,3,0.0015381116880332608
CIFAR100,PCKTAE,1000,3,0.001536936752255196
CIFAR100,PCKTAE,1000,3,0.0015355383654546632
CIFAR100,PCKTAE,1000,3,0.0016710107807841753
CIFAR100,PCKTAE,1000,3,0.001587447254201564
CIFAR100,PCKTAE,1000,3,0.0015421541380312514
CIFAR100,PCKTAE,1000,3,0.0015391377065821414
CIFAR100,PCKTAE,1000,3,0.0015378023207168598
CIFAR100,PCKTAE,1000,3,0.0016369963760899803
CIFAR100,PCKTAE,1000,3,0.0016076884674899223
CIFAR100,PCKTAE,1000,3,0.0015440849180016524
CIFAR100,PCKTAE,1000,3,0.0015939664333234624
CIFAR100,PCKTAE,1000,3,0.001554085944524354
CIFAR100,PCKTAE,1000,3,0.0015402352750001243
CIFAR100,PCKTAE,1000,3,0.0015928195351782395
CIFAR100,PCKTAE,1000,3,0.0014190854168721016
MNIST,PCKTAE,10,1,0.0073759156946482055
MNIST,PCKTAE,10,1,0.007147982281678394
MNIST,PCKTAE,10,1,0.0070175621936570355
MNIST,PCKTAE,10,1,0.006995232055968504
MNIST,PCKTAE,10,1,0.0069874001394854045
MNIST,PCKTAE,10,1,0.006984536898439564
MNIST,PCKTAE,10,1,0.006982658321518443
MNIST,PCKTAE,10,1,0.006981447062044065
MNIST,PCKTAE,10,1,0.006980408413975097
MNIST,PCKTAE,10,1,0.006979245400584456
MNIST,PCKTAE,10,1,0.00697874556134727
MNIST,PCKTAE,10,1,0.006977624557753488
MNIST,PCKTAE,10,1,0.00697773194778512
MNIST,PCKTAE,10,1,0.00697757890408259
MNIST,PCKTAE,10,1,0.006977259785111652
MNIST,PCKTAE,10,1,0.006977078570390561
MNIST,PCKTAE,10,1,0.006977074224549506
MNIST,PCKTAE,10,1,0.006976893040607733
MNIST,PCKTAE,10,1,0.006976809938436251
MNIST,PCKTAE,10,1,0.0069765651008801294
MNIST,PCKTAE,10,1,0.006847662326608655
MNIST,PCKTAE,30,1,0.0073587059833681275
MNIST,PCKTAE,30,1,0.007047887176656519
MNIST,PCKTAE,30,1,0.006879946923872301
MNIST,PCKTAE,30,1,0.006864683829676877
MNIST,PCKTAE,30,1,0.006861255756382749
MNIST,PCKTAE,30,1,0.00686034817756938
MNIST,PCKTAE,30,1,0.006859123734618301
MNIST,PCKTAE,30,1,0.006857842372766118
MNIST,PCKTAE,30,1,0.00685731402493076
MNIST,PCKTAE,30,1,0.006856365155166528
MNIST,PCKTAE,30,1,0.00685584452400393
MNIST,PCKTAE,30,1,0.006855071845974749
MNIST,PCKTAE,30,1,0.006854443878396107
MNIST,PCKTAE,30,1,0.006854553830061259
MNIST,PCKTAE,30,1,0.0068541668625528625
MNIST,PCKTAE,30,1,0.006853977600529568
MNIST,PCKTAE,30,1,0.0068534237207539045
MNIST,PCKTAE,30,1,0.0068535615118152935
MNIST,PCKTAE,30,1,0.00685295006677286
MNIST,PCKTAE,30,1,0.006852853314470508
MNIST,PCKTAE,30,1,0.0066816581094849715
MNIST,PCKTAE,50,1,0.00724353572167059
MNIST,PCKTAE,50,1,0.006908528233713496
MNIST,PCKTAE,50,1,0.00686182587870212
MNIST,PCKTAE,50,1,0.006843333154408408
MNIST,PCKTAE,50,1,0.006838520563868826
MNIST,PCKTAE,50,1,0.006836597884157256
MNIST,PCKTAE,50,1,0.00683407805689267
MNIST,PCKTAE,50,1,0.0068315098276619975
MNIST,PCKTAE,50,1,0.006830003402475864
MNIST,PCKTAE,50,1,0.006829411771370849
MNIST,PCKTAE,50,1,0.006828516768390881
MNIST,PCKTAE,50,1,0.006828655938564269
MNIST,PCKTAE,50,1,0.006828021450734723
MNIST,PCKTAE,50,1,0.006827936628892986
MNIST,PCKTAE,50,1,0.006827801019191615
MNIST,PCKTAE,50,1,0.006827693679796925
MNIST,PCKTAE,50,1,0.006827042812406064
MNIST,PCKTAE,50,1,0.006827379666221167
MNIST,PCKTAE,50,1,0.006826873687006581
MNIST,PCKTAE,50,1,0.006826854148097257
MNIST,PCKTAE,50,1,0.006639065957757868
MNIST,PCKTAE,10,2,0.0073812160668755645
MNIST,PCKTAE,10,2,0.007115493804565879
MNIST,PCKTAE,10,2,0.007002222470875615
MNIST,PCKTAE,10,2,0.0069870833140700615
MNIST,PCKTAE,10,2,0.006982572379706701
MNIST,PCKTAE,10,2,0.006981077820443903
MNIST,PCKTAE,10,2,0.006980365415268552
MNIST,PCKTAE,10,2,0.0069787085179422205
MNIST,PCKTAE,10,2,0.0069779968564348946
MNIST,PCKTAE,10,2,0.006977444730087447
MNIST,PCKTAE,10,2,0.0069771579264212395
MNIST,PCKTAE,10,2,0.0069761362754856985
MNIST,PCKTAE,10,2,0.006976514303091683
MNIST,PCKTAE,10,2,0.006975752494133103
MNIST,PCKTAE,10,2,0.006975502502530623
MNIST,PCKTAE,10,2,0.006974772831151036
MNIST,PCKTAE,10,2,0.006974625048726034
MNIST,PCKTAE,10,2,0.006974675146533228
MNIST,PCKTAE,10,2,0.0069741553533623725
MNIST,PCKTAE,10,2,0.006974431603694204
MNIST,PCKTAE,10,2,0.006852897632678476
MNIST,PCKTAE,30,2,0.00726822489745486
MNIST,PCKTAE,30,2,0.0069193048750175465
MNIST,PCKTAE,30,2,0.006878646142256539
MNIST,PCKTAE,30,2,0.006871648079185471
MNIST,PCKTAE,30,2,0.006869606411596859
MNIST,PCKTAE,30,2,0.0068675785321496065
MNIST,PCKTAE,30,2,0.006864902628923275
MNIST,PCKTAE,30,2,0.006862784958263831
MNIST,PCKTAE,30,2,0.006862089173919928
MNIST,PCKTAE,30,2,0.0068609908437614504
MNIST,PCKTAE,30,2,0.006860194406084923
MNIST,PCKTAE,30,2,0.0068582192168577015
MNIST,PCKTAE,30,2,0.006856979722820365
MNIST,PCKTAE,30,2,0.006856758240808937
MNIST,PCKTAE,30,2,0.006856125703990968
MNIST,PCKTAE,30,2,0.006856353048965939
MNIST,PCKTAE,30,2,0.006855768930993037
MNIST,PCKTAE,30,2,0.00685610608763691
MNIST,PCKTAE,30,2,0.0068562902214287565
MNIST,PCKTAE,30,2,0.006855754419041277
MNIST,PCKTAE,30,2,0.006686019746563103
MNIST,PCKTAE,50,2,0.007339545293276244
MNIST,PCKTAE,50,2,0.006961900793484597
MNIST,PCKTAE,50,2,0.006863202084538969
MNIST,PCKTAE,50,2,0.006844542489679002
MNIST,PCKTAE,50,2,0.006840144882776907
MNIST,PCKTAE,50,2,0.006836055878247978
MNIST,PCKTAE,50,2,0.006833517041279754
MNIST,PCKTAE,50,2,0.006831619707839702
MNIST,PCKTAE,50,2,0.006830356553443141
MNIST,PCKTAE,50,2,0.006829900511188993
MNIST,PCKTAE,50,2,0.00682898369460885
MNIST,PCKTAE,50,2,0.006828363685965982
MNIST,PCKTAE,50,2,0.006828277302322103
MNIST,PCKTAE,50,2,0.006827801051956695
MNIST,PCKTAE,50,2,0.00682723119771525
MNIST,PCKTAE,50,2,0.006827152750170879
MNIST,PCKTAE,50,2,0.006826789369548498
MNIST,PCKTAE,50,2,0.006827322590444833
MNIST,PCKTAE,50,2,0.006827105072015193
MNIST,PCKTAE,50,2,0.006826814566887836
MNIST,PCKTAE,50,2,0.0066576786103505125
MNIST,PCKTAE,10,3,0.007347332475496444
MNIST,PCKTAE,10,3,0.007120603675654194
