dataset,model1,model2,mapping,lambda,num_samples,sampling_strategy,original_MSE_loss,MSE_loss,MSE_loss_transformed,class
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0.1,300,worst_classes,0.1599879413843155,0.16480620205402374,0.03125971183180809,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0,300,convex_hull,0.16012756526470184,0.17284677922725677,0.028271779417991638,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0,300,equally,0.15988405048847198,0.1735091507434845,0.028801238164305687,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0,300,outliers,0.16009975969791412,0.1653190553188324,0.028051918372511864,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0,300,worst_classes,0.1600673347711563,0.16890199482440948,0.02787942998111248,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0.01,50,convex_hull,0.15991219878196716,0.17514774203300476,0.031089065596461296,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0.01,50,equally,0.16005352139472961,0.1665535420179367,0.03150584176182747,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0.01,50,outliers,0.15998400747776031,0.16169357299804688,0.03170863166451454,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0.01,50,worst_classes,0.159981369972229,0.16751746833324432,0.03140205144882202,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0.1,50,convex_hull,0.16007675230503082,0.17383284866809845,0.03073802776634693,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0.1,50,equally,0.16008427739143372,0.16752703487873077,0.031099550426006317,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0.1,50,outliers,0.16002990305423737,0.1584111601114273,0.03442583605647087,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0.1,50,worst_classes,0.15998239815235138,0.16596125066280365,0.031718358397483826,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0,50,convex_hull,0.16001418232917786,0.1761491298675537,0.029095841571688652,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0,50,equally,0.15998908877372742,0.1694505363702774,0.028414826840162277,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0,50,outliers,0.16004081070423126,0.1666257530450821,0.02825270965695381,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0,50,worst_classes,0.1601686179637909,0.1727912276983261,0.02805786393582821,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Linear,0.01,100,convex_hull,0.15986572206020355,0.15571996569633484,0.041856832802295685,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Linear,0.01,100,equally,0.16002532839775085,0.15701313316822052,0.03985891491174698,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Linear,0.01,100,outliers,0.1599774956703186,0.1556207537651062,0.04050949215888977,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Linear,0.01,100,worst_classes,0.1599256694316864,0.1578914225101471,0.041370633989572525,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Linear,0.1,100,convex_hull,0.1598772406578064,0.15562407672405243,0.041966862976551056,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Linear,0.1,100,equally,0.15997982025146484,0.15682576596736908,0.03986205533146858,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Linear,0.1,100,outliers,0.15990304946899414,0.15559959411621094,0.040354225784540176,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Linear,0.1,100,worst_classes,0.1601189374923706,0.15744075179100037,0.04185592010617256,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Linear,0,100,convex_hull,0.16006262600421906,0.1640121042728424,0.028281336650252342,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Linear,0,100,equally,0.16003826260566711,0.16472840309143066,0.028800763189792633,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Linear,0,100,outliers,0.1599331796169281,0.16247881948947906,0.02956228516995907,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Linear,0,100,worst_classes,0.15998893976211548,0.16594859957695007,0.02942066639661789,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Linear,0.01,10,convex_hull,0.16001294553279877,0.15980328619480133,0.04081084206700325,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Linear,0.01,10,equally,0.1601111888885498,0.15686559677124023,0.041766207665205,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Linear,0.01,10,outliers,0.1600845605134964,0.15971589088439941,0.034173931926488876,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Linear,0.01,10,worst_classes,0.16007791459560394,0.1590976119041443,0.03598887845873833,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Linear,0.1,10,convex_hull,0.15996305644512177,0.1567278653383255,0.04274893179535866,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Linear,0.1,10,equally,0.16000615060329437,0.15396052598953247,0.04428865760564804,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Linear,0.1,10,outliers,0.16002550721168518,0.15476293861865997,0.038066085427999496,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Linear,0.1,10,worst_classes,0.16010236740112305,0.15678143501281738,0.04116891697049141,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Linear,0,10,convex_hull,0.16010993719100952,0.1999572366476059,0.04098834469914436,all
